"country","year","debt","di","expenditure","savings","wealth","unemployment"
"Australia",1995,95.68999,3.71954533326423,3.40431125131441,5.23892162024906,314.9344,8.472281
"Australia",1996,99.53078,3.98447837283847,2.97174126408925,6.47166932723856,314.5559,8.506114
"Australia",1997,107.5402,2.51634483133494,4.94912455377741,3.73993586244541,323.2357,8.362488
"Australia",1998,114.6332,4.02375433051093,5.7315408288405,1.28759940622804,339.3139,7.677429
"Australia",1999,121.0998,3.84019749707005,4.25782877425103,0.63774222686955,354.4382,6.873791
"Australia",2000,126.4254,3.76981374896185,3.18030349411816,1.99040113764295,350.2795,6.285546
"Australia",2001,132.0105,4.36426630762756,3.09770520262573,3.23739972337483,347.8053,6.742173
"Australia",2002,149.0944,0.021820395683255,4.03171700694591,-1.15182002677145,348.7379,6.368911
"Australia",2003,159.2495,6.0565918131538,5.03899495136301,-0.413463064568948,359.9007,5.92842
"Australia",2004,169.5848,5.5268201679681,4.54493367879195,0.656837162702715,378.5653,5.396734
"Australia",2005,180.7881,2.35189638817248,3.24645508235609,-0.274769133616913,400.5792,5.033881
"Australia",2006,185.8348,5.16826457067624,5.44138210826719,0.128644036765623,406.6696,4.78524
"Australia",2007,189.5087,6.34682859140092,4.91609932950863,1.89608322287069,401.2133,4.379151
"Australia",2008,184.4043,7.24181541297598,0.570138073225691,8.26759049796296,327.7547,4.23433
"Australia",2009,190.2457,1.04716450132784,3.25331822920844,6.14357870842332,355.9142,5.560385
"Australia",2010,188.4901,5.55094818528465,3.98514631646411,7.43170377801265,342.182,5.21334
"Australia",2011,187.6383,3.03296795880449,2.97311397302395,8.0568011453803,317.8002,5.081195
"Australia",2012,188.6414,0.339802096321155,1.76926154582002,6.83523358589993,353.0001,5.223376
"Australia",2013,189.7901,2.6351972172942,2.43859457828207,7.263830686778,360.7665,5.66194
"Australia",2014,193.3834,2.61385353146468,2.39183731157486,7.47063274001513,375.2101,6.077244
"Australia",2015,202.2312,1.33529276422207,2.78988527227263,5.6417844109666,392.8804,6.056423
"Australia",2016,209.0575,1.90446335742445,2.13817182641751,4.61926118596578,421.9729,5.710301
"Canada",1995,103.4743,0.641446822908652,2.23889551457327,9.31072401733268,402.3358,9.508333
"Canada",1996,106.272,0.215318449429471,2.96054327898528,6.78963236342521,440.5927,9.608334
"Canada",1997,109.4922,2.11033497282047,4.89765324380151,4.64756524078558,455.4157,9.116667
"Canada",1998,112.1247,3.08665487162399,2.74445560366827,4.94574526685934,448.9302,8.283334
"Canada",1999,113.8951,3.39020417924405,3.94190106708074,4.74527835671773,457.7127,7.591667
"Canada",2000,114.4255,3.45381085207377,4.05942914229509,5.30175281958845,448.9211,6.816667
"Canada",2001,114.9241,3.78685784602434,2.44263069859505,4.85747111072921,418.6996,7.216667
"Canada",2002,119.1174,2.14494510458319,3.98969710292484,3.00436646590786,401.3596,7.675
"Canada",2003,124.6127,1.52969347573491,2.75296470447525,1.98271005859418,420.844,7.575
"Canada",2004,130.5863,3.30592218303493,3.03855513657933,2.57421812874469,428.7999,7.191667
"Canada",2005,139.6497,1.85057477719581,3.92899927491304,1.46642470207319,461.6351,6.758333
"Canada",2006,144.0769,5.29082950045651,4.17164329075239,2.6013600974926,476.6028,6.333333
"Canada",2007,152.4009,3.44172676640811,4.38527452180183,2.1549612734548,474.7163,6.05
"Canada",2008,157.3877,3.83974315153463,2.95868304606619,3.35355154511967,419.5439,6.141667
"Canada",2009,164.8437,2.0531941794327,0.030367891768382,4.65968626870519,447.6074,8.35
"Canada",2010,166.4786,3.39144751884331,3.57115045825795,4.39100283372001,467.2831,8.058333
"Canada",2011,169.2847,1.56060452912416,2.29134067620048,4.27452606924147,467.8016,7.525
"Canada",2012,169.6319,2.19443712383298,1.91479253129714,4.82334830370556,490.2196,7.291667
"Canada",2013,169.2014,2.18679379425475,2.58194934980909,5.25903079094569,504.3554,7.083333
"Canada",2014,171.6093,1.12841841200983,2.61824436200163,3.57004898378149,540.3489,6.908333
"Canada",2015,173.4655,2.94553488358706,2.16409811372462,4.46206400263571,535.6811,6.908333
"Canada",2016,181.8281,-0.134157648910953,2.28989456824296,3.28169042714657,565.3221,6.991667
"Japan",1995,109.576,2.14981934535992,2.49614363280019,12.3089790787752,413.5606,3.15
"Japan",1996,114.0761,0.611307027349157,2.0860545401706,11.0000867725292,424.3207,3.35
"Japan",1997,113.7794,1.07817046009012,0.692925899161294,10.9049768384011,425.9466,3.4
"Japan",1998,112.154,0.667011933147228,-0.587147455215395,12.0969529867502,434.4092,4.108333
"Japan",1999,114.246,0.121688249759129,1.15994035641612,10.5349364526179,459.6599,4.683333
"Japan",2000,114.9146,0.436362016092131,1.57613283461399,8.85163157559952,472.4739,4.716667
"Japan",2001,117.105,-1.19165882105822,1.89843220430805,5.56350881046326,486.6959,5.033333
"Japan",2002,115.2551,1.16087328003768,1.18202436502846,4.90586540456714,490.9095,5.375
"Japan",2003,114.8379,0.015971259140731,0.658776054120964,4.39627173889521,511.2722,5.258333
"Japan",2004,113.4837,1.25161328595451,1.31079742038526,3.55731765579768,517.6363,4.716667
"Japan",2005,110.6517,0.926649134355082,1.23529820136185,3.44752329004845,550.5843,4.425
"Japan",2006,108.4377,0.233036810515051,1.03439088053055,2.51302833455836,564.7803,4.141667
"Japan",2007,107.8081,1.2304406257046,0.935741397418598,2.53681030171558,525.852,3.841667
"Japan",2008,109.0339,-0.749515516562054,-1.01578044320571,2.51953228279837,508.5616,3.991667
"Japan",2009,106.5191,1.43796781989943,-0.705884850543478,3.99868025043053,529.3013,5.066667
"Japan",2010,106.5491,2.09881880258971,2.40042903620082,3.70601051595355,527.0036,5.05
"Japan",2011,102.5562,0.420654350988016,-0.386407127095721,3.97369476860816,540.263,4.583333
